File Name,Type,Version,Overall Entropy
secret,Image,Image-Normal,4.273066138573966
secret,Image,Image-Compressed,6.841508870747053
secret,Image,Image-Encrypted,7.503520088486942
secret,Image,Image-Partial,6.436724868996948
