File Name,Type,Version,Overall Entropy
secret,Text,Text-Normal,4.273066138573966
secret,Text,Text-Compressed,6.826380320670412
secret,Text,Text-Encrypted,7.503520088486942
secret,Text,Text-Partial,6.436724868996948
