File Name,Type,Version,Overall Entropy
Image1_partial,Image,Image-Normal,7.988879122574182
Image1_partial,Image,Image-Compressed,7.995728358431048
Image1_partial,Image,Image-Encrypted,7.9994326666819395
Image1_partial,Image,Image-Partial,7.9887805035194
